,id,condition,reuse_p,not_reuse_p
0,1,c2,0.8333333333333334,0.16666666666666663
1,5,c2,0.8623853211009175,0.13761467889908252
2,11,c2,0.0,1.0
3,12,c2,0.6666666666666666,0.33333333333333337
4,14,c2,0.0,1.0
5,15,c2,0.8636363636363636,0.13636363636363635
6,21,c2,0.8549618320610687,0.14503816793893132
7,23,c2,0.7580645161290323,0.24193548387096775
8,30,c2,0.8043478260869565,0.19565217391304346
9,32,c2,0.0,1.0
10,33,c2,0.856,0.14400000000000002
11,39,c2,0.8395061728395061,0.16049382716049387
12,44,c2,0.8035714285714286,0.1964285714285714
13,45,c2,0.7906976744186046,0.2093023255813954
14,50,c2,0.8740157480314961,0.12598425196850394
15,53,c2,0.8333333333333334,0.16666666666666663
16,55,c2,0.7419354838709677,0.25806451612903225
17,56,c2,0.8672566371681416,0.1327433628318584
18,58,c2,0.8285714285714286,0.17142857142857137
19,60,c2,1.0,0.0
20,68,c2,0.8421052631578947,0.1578947368421053
21,69,c2,0.0,1.0
22,70,c2,0.8677685950413223,0.1322314049586777
23,71,c2,0.864,0.136
24,76,c2,0.0,1.0
25,81,c2,0.5555555555555556,0.4444444444444444
26,82,c2,0.8829787234042553,0.11702127659574468
27,88,c2,1.0,0.0
28,90,c2,0.8347107438016529,0.1652892561983471
29,100,c2,0.8048780487804879,0.19512195121951215
30,106,c2,0.8646616541353384,0.13533834586466165
31,107,c2,0.7708333333333334,0.22916666666666663
32,108,c2,0.8305084745762712,0.1694915254237288
33,109,c2,0.25,0.75
34,112,c2,0.8333333333333334,0.16666666666666663
35,114,c2,0.875,0.125
36,115,c2,0.8702290076335878,0.1297709923664122
37,118,c2,0.8666666666666667,0.1333333333333333
38,120,c2,0.83,0.17000000000000004
39,122,c2,0.0,1.0
40,132,c2,0.0,1.0
41,133,c2,0.8157894736842105,0.1842105263157895
42,135,c2,0.8059701492537313,0.19402985074626866
43,137,c2,0.8615384615384616,0.1384615384615384
44,138,c2,0.8448275862068966,0.15517241379310343
45,139,c2,0.8613138686131386,0.13868613138686137
46,142,c2,0.847457627118644,0.15254237288135597
47,3,c3,0.8543046357615894,0.14569536423841056
48,7,c3,0.8933333333333333,0.10666666666666669
49,10,c3,0.8805031446540881,0.11949685534591192
50,13,c3,0.8348623853211009,0.1651376146788991
51,16,c3,0.896774193548387,0.10322580645161294
52,19,c3,0.89171974522293,0.10828025477707004
53,20,c3,0.7088607594936709,0.2911392405063291
54,25,c3,0.8866666666666667,0.11333333333333329
55,29,c3,0.8633540372670807,0.1366459627329193
56,34,c3,0.8636363636363636,0.13636363636363635
57,35,c3,0.7857142857142857,0.2142857142857143
58,36,c3,0.8933333333333333,0.10666666666666669
59,37,c3,0.8674698795180723,0.1325301204819277
60,38,c3,0.8606060606060606,0.1393939393939394
61,40,c3,0.8253968253968254,0.17460317460317465
62,46,c3,0.8650306748466258,0.13496932515337423
63,48,c3,0.8838709677419355,0.11612903225806448
64,49,c3,0.8636363636363636,0.13636363636363635
65,52,c3,0.893491124260355,0.10650887573964496
66,54,c3,0.8531468531468531,0.14685314685314688
67,57,c3,0.7297297297297297,0.2702702702702703
68,59,c3,0.9112426035502958,0.08875739644970415
69,62,c3,0.8902439024390244,0.1097560975609756
70,64,c3,0.8940397350993378,0.10596026490066224
71,65,c3,0.8543046357615894,0.14569536423841056
72,67,c3,0.7215189873417721,0.2784810126582279
73,73,c3,0.8130841121495327,0.1869158878504673
74,74,c3,0.8666666666666667,0.1333333333333333
75,75,c3,0.9171974522292994,0.08280254777070062
76,77,c3,0.8333333333333334,0.16666666666666663
77,80,c3,0.7878787878787878,0.21212121212121215
78,83,c3,0.8774193548387097,0.1225806451612903
79,87,c3,0.8253012048192772,0.17469879518072284
80,89,c3,0.782608695652174,0.21739130434782605
81,92,c3,0.8903225806451613,0.10967741935483866
82,93,c3,0.717391304347826,0.28260869565217395
83,96,c3,0.9125,0.08750000000000002
84,98,c3,0.8901734104046243,0.10982658959537572
85,101,c3,0.8333333333333334,0.16666666666666663
86,111,c3,0.9050632911392406,0.09493670886075944
87,113,c3,0.7228915662650602,0.27710843373493976
88,116,c3,0.7894736842105263,0.21052631578947367
89,117,c3,0.8838709677419355,0.11612903225806448
90,121,c3,0.7613636363636364,0.23863636363636365
91,123,c3,0.8944099378881988,0.10559006211180122
92,124,c3,0.8618421052631579,0.13815789473684215
93,130,c3,0.8774193548387097,0.1225806451612903
94,131,c3,0.8888888888888888,0.11111111111111116
95,136,c3,0.9290322580645162,0.07096774193548383
96,141,c3,0.7281553398058253,0.27184466019417475
97,2,ind,0.726027397260274,0.273972602739726
98,4,ind,0.8082191780821918,0.1917808219178082
99,6,ind,0.7536231884057971,0.24637681159420288
100,8,ind,0.6973684210526315,0.3026315789473685
101,9,ind,0.7058823529411765,0.2941176470588235
102,17,ind,0.7380952380952381,0.26190476190476186
103,18,ind,0.7945205479452054,0.20547945205479456
104,22,ind,0.631578947368421,0.368421052631579
105,24,ind,0.76,0.24
106,26,ind,0.7375,0.26249999999999996
107,27,ind,0.7777777777777778,0.2222222222222222
108,28,ind,0.7926829268292683,0.20731707317073167
109,31,ind,0.7721518987341772,0.22784810126582278
110,41,ind,0.7831325301204819,0.2168674698795181
111,42,ind,0.8275862068965517,0.1724137931034483
112,43,ind,0.821917808219178,0.17808219178082196
113,47,ind,0.7555555555555555,0.24444444444444446
114,51,ind,0.7375,0.26249999999999996
115,61,ind,0.7375,0.26249999999999996
116,63,ind,0.7397260273972602,0.26027397260273977
117,66,ind,0.7534246575342466,0.2465753424657534
118,72,ind,0.7236842105263158,0.2763157894736842
119,78,ind,0.8048780487804879,0.19512195121951215
120,79,ind,0.759493670886076,0.240506329113924
121,84,ind,0.7528089887640449,0.2471910112359551
122,85,ind,0.75,0.25
123,86,ind,0.7638888888888888,0.23611111111111116
124,91,ind,0.7368421052631579,0.26315789473684215
125,94,ind,0.8125,0.1875
126,95,ind,0.8023255813953488,0.19767441860465118
127,97,ind,0.726027397260274,0.273972602739726
128,99,ind,0.7702702702702703,0.22972972972972971
129,102,ind,0.7432432432432432,0.2567567567567568
130,103,ind,0.75,0.25
131,104,ind,0.691358024691358,0.308641975308642
132,105,ind,0.8045977011494253,0.1954022988505747
133,110,ind,0.7763157894736842,0.22368421052631582
134,119,ind,0.7916666666666666,0.20833333333333337
135,125,ind,0.6829268292682927,0.31707317073170727
136,126,ind,0.7941176470588235,0.20588235294117652
137,127,ind,0.7375,0.26249999999999996
138,128,ind,0.7710843373493976,0.22891566265060237
139,129,ind,0.7586206896551724,0.24137931034482762
140,134,ind,0.7654320987654321,0.23456790123456794
141,140,ind,0.6862745098039216,0.3137254901960784
