,id,AIC 1 Mixture,AIC 2 Mixture,AIC 3 Mixture,BIC 1 Mixture,BIC 2 Mixture,BIC 3 Mixture,Experiment
145,46,11882.16953520212,11815.488993242874,11659.043093887674,11891.979036742043,11840.012747092684,11698.281100047368,2
146,47,11291.809454281703,11189.610873619225,11199.610223231468,11301.59879436057,11214.084223816393,11238.767583546936,2
147,48,11829.168713370153,11731.754878504536,11610.691852800646,11838.879530967373,11756.031922497586,11649.535123189526,2
148,49,12264.62893548028,12176.905373700381,12151.618917608612,12274.408118096988,12201.353330242153,12190.735648075448,2
149,50,12469.050453091095,12185.86197517506,12180.151532485917,12478.794709293772,12210.222615681754,12219.12855729663,2
150,51,11955.979865756512,11921.76056045874,11909.678130811404,11965.740633920883,11946.16248086967,11948.721203468893,2
151,52,12198.73909758173,11763.465221633785,11793.364234882283,12208.51420272506,11787.902984492108,11832.4646554556,2
152,53,11591.39864356468,11334.655768347653,11301.545682970911,11601.204129038997,11359.169482033447,11340.76762486818,2
153,54,11901.149205198768,11786.940485137198,11753.508243016659,11910.870532541665,11811.243803494439,11792.393552388245,2
154,55,12200.383961608275,11959.708865590088,11952.42533044042,12210.132358599181,11984.079858067355,11991.418918404046,2
155,56,11859.1259814589,11720.845380370265,11696.060650735244,11868.899044743961,11745.278038582917,11735.152903875489,2
156,57,11909.0827303498,11802.657349916642,11787.32890139578,11918.85374968987,11827.084898266816,11826.412978756058,2
157,58,11931.792662137312,11686.268232360222,11641.23398624594,11941.538989805736,11710.634051531284,11680.21929691964,2
158,59,12340.572410535708,12167.711861554002,12122.122047096618,12350.339335708533,12192.129174486068,12161.189747787923,2
159,60,12092.993784277904,11831.298226389685,11808.917473398706,12102.756606885188,11855.705282907897,11847.968763827846,2
160,61,12119.497221439884,11939.28769902785,11898.811656027363,12129.222737265987,11963.601488593105,11937.713719331774,2
161,62,11772.732529467228,11513.643410755863,11471.463304319088,11782.538014941545,11538.157124441657,11510.685246216357,2
162,63,12110.668237327014,11861.264838705485,11833.987691830163,12120.439256667083,11885.692387055658,11873.071769190441,2
163,64,12258.085369730376,12124.00400933617,12115.280319754653,12267.744957205401,12148.152978023732,12153.918669654751,2
164,65,11772.048569713144,11550.745540774105,11543.17616344275,11781.81139232043,11575.152597292317,11582.22745387189,2
165,66,12312.563380240232,12214.590971756066,12182.928077787363,12322.320033176815,12238.982604097522,12221.954689533693,2
166,67,11347.800348561106,11108.054015779144,11078.640655331023,11357.61185511373,11132.582782160702,11117.886681541515,2
167,68,11560.059506433234,11435.120230771234,11429.52582991719,11569.85087182873,11459.598644259973,11468.691291499172,2
168,69,12491.274861922859,12292.583826605645,12303.373801255853,12501.062174632065,12317.052108378659,12342.523052092674,2
169,70,11637.799047418857,11561.857919159535,11574.017599270155,11647.490807169386,11586.087318535854,11612.784638272267,2
170,71,12546.630644655828,12180.574643747423,12152.64800723562,12556.422010051325,12205.053057236162,12191.813468817603,2
171,72,12049.58459000513,11716.129795845882,11728.986668360758,12059.373930083997,11740.60314604305,11768.144028676226,2
172,73,11808.58866206988,11468.368517949415,11439.900981615288,11818.39012339797,11492.87217126964,11479.10682692765,2
173,74,12193.266700629829,11795.45440854758,11762.462920939372,12202.985930437137,11819.752483065851,11801.339840168604,2
174,75,11919.38543442219,11331.632950609033,11213.80525721474,11929.174774501058,11356.106300806201,11252.96261753021,2
175,76,11734.754416537788,11580.893410487564,11573.739302771934,11744.385696517937,11604.971610437937,11612.264422692528,2
176,77,11745.799598693318,11494.5722267859,11458.86468065808,11755.597027761978,11519.06579945755,11498.05439693272,2
177,78,11861.265586040427,11812.769980841365,11815.739379211394,11870.948816993381,11836.978058223753,11854.472303023214,2
178,79,11747.19478039877,11324.07297522992,11276.056737020786,11756.988169062015,11348.556446888033,11315.230291673768,2
179,80,12247.654307938818,12019.329559680013,11975.90187085139,12257.459793413134,12043.843273365806,12015.12381274866,2
180,81,12543.352924738501,12324.408078002132,12296.335535560765,12553.119849911327,12348.825390934198,12335.40323625207,2
181,82,12377.342088528752,12346.265791671076,12330.55950371112,12387.13142860762,12370.739141868244,12369.716864026588,2
182,83,12515.125142961297,12283.481429443545,12270.573091785087,12524.910426243641,12307.944637649405,12309.714224914464,2
183,84,12748.77023590047,12697.534264997332,12528.909691199102,12758.573710313784,12722.042951030615,12568.123588852355,2
184,85,11946.822195659704,11813.507304090359,11824.965551729392,11956.522447991996,11837.757934921086,11863.766561058555,2
185,86,11832.21128985932,11601.71339650728,11518.835561110067,11842.00871892798,11626.206969178931,11558.025277384706,2
186,87,12048.079681681873,11991.038781511032,11948.93369528418,12057.887176197042,12015.557517798954,11988.163673344858,2
187,88,12748.440016528952,12725.880148321714,12609.705522938817,12758.237445597611,12750.373720993364,12648.895239213456,2
188,89,12490.180615121337,12370.787097156783,12303.051695272017,12499.967927830543,12395.255378929796,12342.200946108838,2
189,90,11736.724751859281,11530.098523236566,11526.291861143323,11746.469008061958,11554.45916374326,11565.268885954036,2
