,id,condition,chunk,bl,tr,ts,delta_c
147,187,fast,sz4,32,99,31,-1
148,188,fast,high2,53,136,40,-13
149,188,fast,medium2,52,128,47,-5
150,188,fast,sz3,66,144,44,-22
151,188,fast,sz4,39,83,22,-17
152,193,fast,high2,35,183,66,31
153,193,fast,medium2,18,117,45,27
154,193,fast,sz3,26,166,60,34
155,193,fast,sz4,16,102,32,16
156,198,fast,high2,51,137,38,-13
157,198,fast,medium2,48,73,13,-35
158,198,fast,sz3,58,103,14,-44
159,198,fast,sz4,40,60,5,-35
160,199,fast,high2,43,166,26,-17
161,199,fast,medium2,47,132,18,-29
162,199,fast,sz3,45,174,14,-31
163,199,fast,sz4,20,107,4,-16
164,201,fast,high2,2,26,4,2
165,201,fast,medium2,0,0,0,0
166,201,fast,sz3,0,0,0,0
167,201,fast,sz4,0,0,0,0
168,207,fast,high2,58,187,63,5
169,207,fast,medium2,24,159,51,27
170,207,fast,sz3,40,213,76,36
171,207,fast,sz4,26,145,54,28
172,208,fast,high2,3,55,13,10
173,208,fast,medium2,0,28,4,4
174,208,fast,sz3,0,25,3,3
175,208,fast,sz4,0,11,1,1
176,211,fast,high2,17,70,20,3
177,211,fast,medium2,27,128,50,23
178,211,fast,sz3,15,85,30,15
179,211,fast,sz4,7,51,15,8
180,212,fast,high2,52,202,72,20
181,212,fast,medium2,20,143,51,31
182,212,fast,sz3,31,226,84,53
183,212,fast,sz4,17,164,65,48
184,228,fast,high2,40,175,67,27
185,228,fast,medium2,20,118,39,19
186,228,fast,sz3,26,173,58,32
187,228,fast,sz4,15,121,39,24
188,229,fast,high2,34,183,70,36
189,229,fast,medium2,0,37,44,44
190,229,fast,sz3,0,60,65,65
191,229,fast,sz4,0,32,42,42
192,233,fast,high2,0,115,2,2
193,233,fast,medium2,0,74,2,2
194,233,fast,sz3,0,120,0,0
195,233,fast,sz4,0,91,0,0
196,234,fast,high2,46,142,50,4
197,234,fast,medium2,21,111,40,19
198,234,fast,sz3,25,149,46,21
199,234,fast,sz4,11,98,29,18
200,240,fast,high2,21,168,59,38
201,240,fast,medium2,28,181,53,25
202,240,fast,sz3,22,236,77,55
203,240,fast,sz4,13,162,58,45
204,241,fast,high2,0,63,1,1
205,241,fast,medium2,0,60,2,2
206,241,fast,sz3,0,66,0,0
207,241,fast,sz4,0,34,0,0
208,243,fast,high2,44,142,57,13
209,243,fast,medium2,34,106,47,13
210,243,fast,sz3,41,133,62,21
211,243,fast,sz4,21,78,40,19
212,246,fast,high2,23,132,53,30
213,246,fast,medium2,33,107,56,23
214,246,fast,sz3,20,111,65,45
215,246,fast,sz4,5,58,41,36
216,4,accurate,high2,62,133,70,8
217,4,accurate,medium2,35,109,60,25
218,4,accurate,sz3,55,125,91,36
219,4,accurate,sz4,37,70,66,29
220,22,accurate,high2,45,182,76,31
221,22,accurate,medium2,27,152,64,37
222,22,accurate,sz3,35,214,102,67
223,22,accurate,sz4,18,143,73,55
224,28,accurate,high2,4,8,1,-3
225,28,accurate,medium2,7,7,2,-5
226,28,accurate,sz3,5,0,0,-5
227,28,accurate,sz4,3,0,0,-3
228,30,accurate,high2,61,169,57,-4
229,30,accurate,medium2,36,144,37,1
230,30,accurate,sz3,46,177,52,6
231,30,accurate,sz4,27,107,28,1
232,40,accurate,high2,23,72,51,28
233,40,accurate,medium2,21,60,26,5
234,40,accurate,sz3,9,36,25,16
235,40,accurate,sz4,1,9,9,8
236,44,accurate,high2,53,159,55,2
237,44,accurate,medium2,56,181,62,6
238,44,accurate,sz3,67,216,80,13
239,44,accurate,sz4,40,133,57,17
240,52,accurate,high2,54,104,70,16
241,52,accurate,medium2,52,61,62,10
242,52,accurate,sz3,65,72,92,27
243,52,accurate,sz4,40,38,66,26
244,56,accurate,high2,17,143,55,38
245,56,accurate,medium2,19,106,50,31
246,56,accurate,sz3,10,112,63,53
247,56,accurate,sz4,2,44,38,36
248,62,accurate,high2,5,6,18,13
249,62,accurate,medium2,5,12,3,-2
250,62,accurate,sz3,0,1,2,2
251,62,accurate,sz4,0,0,0,0
252,66,accurate,high2,44,119,45,1
253,66,accurate,medium2,19,59,28,9
254,66,accurate,sz3,23,64,33,10
255,66,accurate,sz4,17,38,13,-4
256,81,accurate,high2,50,136,49,-1
257,81,accurate,medium2,37,145,49,12
258,81,accurate,sz3,41,141,58,17
259,81,accurate,sz4,23,77,37,14
260,102,accurate,high2,7,24,12,5
261,102,accurate,medium2,14,51,30,16
262,102,accurate,sz3,1,13,14,13
263,102,accurate,sz4,0,3,8,8
264,104,accurate,high2,41,206,61,20
265,104,accurate,medium2,10,107,27,17
266,104,accurate,sz3,18,177,44,26
267,104,accurate,sz4,11,102,29,18
268,105,accurate,high2,43,165,58,15
